,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
190,Morgan State,32,14,18,.438,-14.95,-8.37,,7,7,,11,4,,2,13,,2559,2584,,1295,948,1988,.477,148,435,.340,515,707,.728,396,1193,414,222,149,432,595
191,Mount St. Mary's NCAA,36,23,13,.639,-7.72,-6.29,,12,8,,10,4,,9,8,,2524,2538,,1460,889,2014,.441,285,827,.345,461,626,.736,366,1350,537,217,99,538,563
192,Murray State,33,16,17,.485,0.85,0.44,,9,11,,7,5,,6,8,,2371,2282,,1350,789,1823,.433,251,730,.344,542,751,.722,331,1121,392,220,100,376,573
193,Navy,34,15,19,.441,-9.77,-8.65,,10,8,,9,5,,6,12,,2407,2393,,1365,837,1979,.423,249,737,.338,484,661,.732,383,1216,452,222,91,367,557
194,NC State,31,12,19,.387,5.67,6.48,,5,15,,12,6,,0,11,,2158,2183,,1245,764,1798,.425,209,650,.322,421,580,.726,318,992,394,200,118,295,515
195,Nebraska,31,17,14,.548,12.96,10.44,,7,13,,10,6,,5,7,,2337,2259,,1260,814,1798,.453,225,693,.325,484,647,.748,285,1089,427,220,92,352,488
196,Nevada,33,17,16,.515,9.50,5.31,,8,12,,11,6,,3,8,,2386,2248,,1329,845,1785,.473,228,669,.341,468,666,.703,286,1071,497,205,119,335,578
197,Nevada-Las Vegas,33,18,15,.545,6.73,5.61,,11,9,,12,5,,5,7,,2285,2248,,1320,803,1826,.440,210,631,.333,469,654,.717,306,1119,398,216,120,352,526
198,New Hampshire,32,8,24,.250,-19.87,-7.36,,6,10,,6,6,,2,15,,2124,2450,,1280,772,1872,.412,249,765,.325,331,502,.659,331,1098,359,181,76,424,529
199,New Mexico NCAA,34,27,7,.794,15.26,6.08,,17,3,,16,1,,7,4,,2756,2401,,1370,983,2142,.459,239,688,.347,551,797,.691,413,1333,514,301,173,390,592
200,New Mexico State,32,17,15,.531,0.99,0.54,,10,8,,9,6,,8,6,,2229,2110,,1285,787,1895,.415,228,710,.321,427,633,.675,379,1198,373,204,74,348,591
201,New Orleans,31,4,27,.129,-15.19,-0.64,,2,18,,0,11,,3,15,,2105,2556,,1252,758,1840,.412,172,565,.304,417,623,.669,375,1104,380,226,81,408,465
202,Niagara,31,11,20,.355,-12.73,-8.25,,6,14,,5,7,,3,13,,2122,2214,,1255,747,1659,.450,251,711,.353,377,510,.739,233,953,390,193,69,380,487
203,Nicholls State,33,20,13,.606,-2.19,-2.53,,13,7,,11,4,,8,8,,2443,2296,,1330,867,2025,.428,252,729,.346,457,667,.685,396,1247,373,266,129,351,569
204,NJIT,31,6,25,.194,-17.77,-7.70,,3,13,,4,9,,1,16,,2023,2269,,1245,726,1815,.400,212,688,.308,359,491,.731,333,1100,312,148,114,375,570
205,Norfolk State NCAA,35,24,11,.686,-3.56,-6.50,,11,3,,11,1,,8,9,,2696,2440,,1410,968,1983,.488,185,567,.326,575,760,.757,358,1208,484,244,105,433,622
206,North Alabama,35,24,11,.686,1.24,-5.28,,14,4,,16,1,,7,10,,2753,2471,,1410,998,2185,.457,267,761,.351,490,691,.709,435,1336,422,263,115,310,520
207,North Carolina NCAA,37,23,14,.622,17.35,11.30,,13,7,,12,3,,6,6,,2987,2763,,1490,1059,2230,.475,295,829,.356,574,775,.741,362,1357,547,221,135,397,625
208,North Carolina A&T,32,7,25,.219,-13.09,-4.12,,3,15,,5,9,,2,15,,2213,2439,,1280,791,1937,.408,215,708,.304,416,606,.686,341,1148,358,197,96,340,482
209,North Carolina Central,33,14,19,.424,-12.75,-7.89,,6,8,,10,4,,2,13,,2600,2501,,1340,915,1994,.459,242,691,.350,528,759,.696,437,1105,520,276,79,437,658
210,North Dakota,33,12,21,.364,-7.28,-1.38,,5,11,,8,6,,2,12,,2550,2624,,1320,899,2069,.435,271,831,.326,481,679,.708,437,1245,405,188,81,375,549
211,North Dakota State,32,21,11,.656,1.26,-3.43,,10,6,,11,4,,8,6,,2595,2386,,1296,871,1826,.477,380,955,.398,473,610,.775,286,1111,480,117,59,332,478
212,North Florida,32,15,17,.469,-8.29,-3.56,,8,10,,8,6,,7,10,,2651,2712,,1295,944,2125,.444,409,1147,.357,354,517,.685,359,1145,521,202,104,358,573
213,North Texas,33,25,8,.758,7.82,0.37,,14,4,,16,1,,7,5,,2254,1974,,1320,773,1704,.454,228,634,.360,480,619,.775,336,1080,349,252,78,339,490
214,Northeastern,32,17,15,.531,-4.44,-4.88,,9,9,,8,5,,7,8,,2243,2229,,1280,835,1848,.452,217,644,.337,356,518,.687,339,1090,415,242,151,399,516
